date,     is_holiday, role,     description,
20100101, true , all      , 元旦,
20100102, true , all      , 週六,
20100103, true , all      , 週日,
20100104, false, all      , 工作日,
20100105, false, all      , 工作日,
20100106, false, all      , 工作日,
20100107, false, all      , 工作日,
20100108, false, all      , 工作日,
20100109, true , all      , 週六,
20100110, true , all      , 週日,
20100111, false, all      , 工作日,
20100112, false, all      , 工作日,
20100113, false, all      , 工作日,
20100114, false, all      , 工作日,
20100115, false, all      , 工作日,
20100116, true , all      , 週六,
20100117, true , all      , 週日,
20100118, false, all      , 工作日,
20100119, false, all      , 工作日,
20100120, false, all      , 工作日,
20100121, false, all      , 工作日,
20100122, false, all      , 工作日,
20100123, true , all      , 週六,
20100124, true , all      , 週日,
20100125, false, all      , 工作日,
20100126, false, all      , 工作日,
20100127, false, all      , 工作日,
20100128, false, all      , 工作日,
20100129, false, all      , 工作日,
20100130, true , all      , 週六,
20100131, true , all      , 週日,
20100201, false, all      , 工作日,
20100202, false, all      , 工作日,
20100203, false, all      , 工作日,
20100204, false, all      , 工作日,
20100205, false, all      , 工作日,
20100206, false, all      , 補上班,
20100207, true , all      , 週日,
20100208, false, all      , 工作日,
20100209, false, all      , 工作日,
20100210, false, all      , 工作日,
20100211, false, all      , 工作日,
20100212, false, all      , 工作日,
20100213, true , all      , 除夕,
20100214, true , all      , 春節,
20100215, true , all      , 春節,
20100216, true , all      , 春節,
20100217, true , all      , 春節補假,
20100218, true , all      , 春節補假,
20100219, true , all      , 調整放假,
20100220, true , all      , 週六,
20100221, true , all      , 週日,
20100222, false, all      , 工作日,
20100223, false, all      , 工作日,
20100224, false, all      , 工作日,
20100225, false, all      , 工作日,
20100226, false, all      , 工作日,
20100227, true , all      , 週六,
20100228, true , all      , 和平紀念日,
20100301, false, all      , 工作日,
20100302, false, all      , 工作日,
20100303, false, all      , 工作日,
20100304, false, all      , 工作日,
20100305, false, all      , 工作日,
20100306, true , all      , 週六,
20100307, true , all      , 週日,
20100308, false, all      , 工作日,
20100309, false, all      , 工作日,
20100310, false, all      , 工作日,
20100311, false, all      , 工作日,
20100312, false, all      , 工作日,
20100313, true , all      , 週六,
20100314, true , all      , 週日,
20100315, false, all      , 工作日,
20100316, false, all      , 工作日,
20100317, false, all      , 工作日,
20100318, false, all      , 工作日,
20100319, false, all      , 工作日,
20100320, true , all      , 週六,
20100321, true , all      , 週日,
20100322, false, all      , 工作日,
20100323, false, all      , 工作日,
20100324, false, all      , 工作日,
20100325, false, all      , 工作日,
20100326, false, all      , 工作日,
20100327, true , all      , 週六,
20100328, true , all      , 週日,
20100329, false, all      , 工作日,
20100330, false, all      , 工作日,
20100331, false, all      , 工作日,
20100401, false, all      , 工作日,
20100402, false, all      , 工作日,
20100403, true , all      , 週六,
20100404, true , all      , 週日,
20100405, true , all      , 民族掃墓節,
20100406, false, all      , 工作日,
20100407, false, all      , 工作日,
20100408, false, all      , 工作日,
20100409, false, all      , 工作日,
20100410, true , all      , 週六,
20100411, true , all      , 週日,
20100412, false, all      , 工作日,
20100413, false, all      , 工作日,
20100414, false, all      , 工作日,
20100415, false, all      , 工作日,
20100416, false, all      , 工作日,
20100417, true , all      , 週六,
20100418, true , all      , 週日,
20100419, false, all      , 工作日,
20100420, false, all      , 工作日,
20100421, false, all      , 工作日,
20100422, false, all      , 工作日,
20100423, false, all      , 工作日,
20100424, true , all      , 週六,
20100425, true , all      , 週日,
20100426, false, all      , 工作日,
20100427, false, all      , 工作日,
20100428, false, all      , 工作日,
20100429, false, all      , 工作日,
20100430, false, all      , 工作日,
20100501, true , labor    , 勞動節,
20100502, true , all      , 週日,
20100503, false, all      , 工作日,
20100504, false, all      , 工作日,
20100505, false, all      , 工作日,
20100506, false, all      , 工作日,
20100507, false, all      , 工作日,
20100508, true , all      , 週六,
20100509, true , all      , 週日,
20100510, false, all      , 工作日,
20100511, false, all      , 工作日,
20100512, false, all      , 工作日,
20100513, false, all      , 工作日,
20100514, false, all      , 工作日,
20100515, true , all      , 週六,
20100516, true , all      , 週日,
20100517, false, all      , 工作日,
20100518, false, all      , 工作日,
20100519, false, all      , 工作日,
20100520, false, all      , 工作日,
20100521, false, all      , 工作日,
20100522, true , all      , 週六,
20100523, true , all      , 週日,
20100524, false, all      , 工作日,
20100525, false, all      , 工作日,
20100526, false, all      , 工作日,
20100527, false, all      , 工作日,
20100528, false, all      , 工作日,
20100529, true , all      , 週六,
20100530, true , all      , 週日,
20100531, false, all      , 工作日,
20100601, false, all      , 工作日,
20100602, false, all      , 工作日,
20100603, false, all      , 工作日,
20100604, false, all      , 工作日,
20100605, true , all      , 週六,
20100606, true , all      , 週日,
20100607, false, all      , 工作日,
20100608, false, all      , 工作日,
20100609, false, all      , 工作日,
20100610, false, all      , 工作日,
20100611, false, all      , 工作日,
20100612, true , all      , 週六,
20100613, true , all      , 週日,
20100614, false, all      , 工作日,
20100615, false, all      , 工作日,
20100616, true , all      , 端午節,
20100617, false, all      , 工作日,
20100618, false, all      , 工作日,
20100619, true , all      , 週六,
20100620, true , all      , 週日,
20100621, false, all      , 工作日,
20100622, false, all      , 工作日,
20100623, false, all      , 工作日,
20100624, false, all      , 工作日,
20100625, false, all      , 工作日,
20100626, true , all      , 週六,
20100627, true , all      , 週日,
20100628, false, all      , 工作日,
20100629, false, all      , 工作日,
20100630, false, all      , 工作日,
20100701, false, all      , 工作日,
20100702, false, all      , 工作日,
20100703, true , all      , 週六,
20100704, true , all      , 週日,
20100705, false, all      , 工作日,
20100706, false, all      , 工作日,
20100707, false, all      , 工作日,
20100708, false, all      , 工作日,
20100709, false, all      , 工作日,
20100710, true , all      , 週六,
20100711, true , all      , 週日,
20100712, false, all      , 工作日,
