date,     is_holiday, role,     description,
20130101, true , all      , 元旦,
20130102, false, all      , 工作日,
20130103, false, all      , 工作日,
20130104, false, all      , 工作日,
20130105, true , all      , 週六,
20130106, true , all      , 週日,
20130107, false, all      , 工作日,
20130108, false, all      , 工作日,
20130109, false, all      , 工作日,
20130110, false, all      , 工作日,
20130111, false, all      , 工作日,
20130112, true , all      , 週六,
20130113, true , all      , 週日,
20130114, false, all      , 工作日,
20130115, false, all      , 工作日,
20130116, false, all      , 工作日,
20130117, false, all      , 工作日,
20130118, false, all      , 工作日,
20130119, true , all      , 週六,
20130120, true , all      , 週日,
20130121, false, all      , 工作日,
20130122, false, all      , 工作日,
20130123, false, all      , 工作日,
20130124, false, all      , 工作日,
20130125, false, all      , 工作日,
20130126, true , all      , 週六,
20130127, true , all      , 週日,
20130128, false, all      , 工作日,
20130129, false, all      , 工作日,
20130130, false, all      , 工作日,
20130131, false, all      , 工作日,
20130201, false, all      , 工作日,
20130202, true , all      , 週六,
20130203, true , all      , 週日,
20130204, false, all      , 工作日,
20130205, false, all      , 工作日,
20130206, false, all      , 工作日,
20130207, false, all      , 工作日,
20130208, false, all      , 工作日,
20130209, true , all      , 除夕,
20130210, true , all      , 春節,
20130211, true , all      , 春節,
20130212, true , all      , 春節,
20130213, true , all      , 春節補假,
20130214, false, all      , 工作日,
20130215, true , all      , 調整放假,
20130216, true , all      , 週六,
20130217, true , all      , 週日,
20130218, false, all      , 工作日,
20130219, false, all      , 工作日,
20130220, false, all      , 工作日,
20130221, false, all      , 工作日,
20130222, false, all      , 工作日,
20130223, false, all      , 補上班,
20130224, true , all      , 週日,
20130225, false, all      , 工作日,
20130226, false, all      , 工作日,
20130227, false, all      , 工作日,
20130228, true , all      , 和平紀念日,
20130301, false, all      , 工作日,
20130302, true , all      , 週六,
20130303, true , all      , 週日,
20130304, false, all      , 工作日,
20130305, false, all      , 工作日,
20130306, false, all      , 工作日,
20130307, false, all      , 工作日,
20130308, false, all      , 工作日,
20130309, true , all      , 週六,
20130310, true , all      , 週日,
20130311, false, all      , 工作日,
20130312, false, all      , 工作日,
20130313, false, all      , 工作日,
20130314, false, all      , 工作日,
20130315, false, all      , 工作日,
20130316, true , all      , 週六,
20130317, true , all      , 週日,
20130318, false, all      , 工作日,
20130319, false, all      , 工作日,
20130320, false, all      , 工作日,
20130321, false, all      , 工作日,
20130322, false, all      , 工作日,
20130323, true , all      , 週六,
20130324, true , all      , 週日,
20130325, false, all      , 工作日,
20130326, false, all      , 工作日,
20130327, false, all      , 工作日,
20130328, false, all      , 工作日,
20130329, false, all      , 工作日,
20130330, true , all      , 週六,
20130331, true , all      , 週日,
20130401, false, all      , 工作日,
20130402, false, all      , 工作日,
20130403, false, all      , 工作日,
20130404, true , all      , 兒童節,
20130405, true , all      , 調整放假,
20130406, true , all      , 週六,
20130407, true , all      , 週日,
20130408, false, all      , 工作日,
20130409, false, all      , 工作日,
20130410, false, all      , 工作日,
20130411, false, all      , 工作日,
20130412, false, all      , 工作日,
20130413, true , all      , 週六,
20130414, true , all      , 週日,
20130415, false, all      , 工作日,
20130416, false, all      , 工作日,
20130417, false, all      , 工作日,
20130418, false, all      , 工作日,
20130419, false, all      , 工作日,
20130420, true , all      , 週六,
20130421, true , all      , 週日,
20130422, false, all      , 工作日,
20130423, false, all      , 工作日,
20130424, false, all      , 工作日,
20130425, false, all      , 工作日,
20130426, false, all      , 工作日,
20130427, true , all      , 週六,
20130428, true , all      , 週日,
20130429, false, all      , 工作日,
20130430, false, all      , 工作日,
20130501, true , labor    , 勞動節,
20130502, false, all      , 工作日,
20130503, false, all      , 工作日,
20130504, true , all      , 週六,
20130505, true , all      , 週日,
20130506, false, all      , 工作日,
20130507, false, all      , 工作日,
20130508, false, all      , 工作日,
20130509, false, all      , 工作日,
20130510, false, all      , 工作日,
20130511, true , all      , 週六,
20130512, true , all      , 週日,
20130513, false, all      , 工作日,
20130514, false, all      , 工作日,
20130515, false, all      , 工作日,
20130516, false, all      , 工作日,
20130517, false, all      , 工作日,
20130518, true , all      , 週六,
20130519, true , all      , 週日,
20130520, false, all      , 工作日,
