date,     is_holiday, role,     description,
20050101, true , all      , 元旦,
20050102, true , all      , 週日,
20050103, false, all      , 工作日,
20050104, false, all      , 工作日,
20050105, false, all      , 工作日,
20050106, false, all      , 工作日,
20050107, false, all      , 工作日,
20050108, true , all      , 週六,
20050109, true , all      , 週日,
20050110, false, all      , 工作日,
20050111, false, all      , 工作日,
20050112, false, all      , 工作日,
20050113, false, all      , 工作日,
20050114, false, all      , 工作日,
20050115, true , all      , 週六,
20050116, true , all      , 週日,
20050117, false, all      , 工作日,
20050118, false, all      , 工作日,
20050119, false, all      , 工作日,
20050120, false, all      , 工作日,
20050121, false, all      , 工作日,
20050122, true , all      , 週六,
20050123, true , all      , 週日,
20050124, false, all      , 工作日,
20050125, false, all      , 工作日,
20050126, false, all      , 工作日,
20050127, false, all      , 工作日,
20050128, false, all      , 工作日,
20050129, true , all      , 週六,
20050130, true , all      , 週日,
20050131, false, all      , 工作日,
20050201, false, all      , 工作日,
20050202, false, all      , 工作日,
20050203, false, all      , 工作日,
20050204, false, all      , 工作日,
20050205, false, all      , 補上班,
20050206, true , all      , 週日,
20050207, true , all      , 調整放假,
20050208, true , all      , 除夕,
20050209, true , all      , 春節,
20050210, true , all      , 春節,
20050211, true , all      , 春節,
20050212, true , all      , 週六,
20050213, true , all      , 週日,
20050214, false, all      , 工作日,
20050215, false, all      , 工作日,
20050216, false, all      , 工作日,
20050217, false, all      , 工作日,
20050218, false, all      , 工作日,
20050219, true , all      , 週六,
20050220, true , all      , 週日,
20050221, false, all      , 工作日,
20050222, false, all      , 工作日,
20050223, false, all      , 工作日,
20050224, false, all      , 工作日,
20050225, false, all      , 工作日,
20050226, true , all      , 週六,
20050227, true , all      , 週日,
20050228, true , all      , 和平紀念日,
20050301, false, all      , 工作日,
20050302, false, all      , 工作日,
20050303, false, all      , 工作日,
20050304, false, all      , 工作日,
20050305, true , all      , 週六,
20050306, true , all      , 週日,
20050307, false, all      , 工作日,
20050308, false, all      , 工作日,
20050309, false, all      , 工作日,
20050310, false, all      , 工作日,
20050311, false, all      , 工作日,
20050312, true , all      , 週六,
20050313, true , all      , 週日,
20050314, false, all      , 工作日,
20050315, false, all      , 工作日,
20050316, false, all      , 工作日,
20050317, false, all      , 工作日,
20050318, false, all      , 工作日,
20050319, true , all      , 週六,
20050320, true , all      , 週日,
20050321, false, all      , 工作日,
20050322, false, all      , 工作日,
20050323, false, all      , 工作日,
20050324, false, all      , 工作日,
20050325, false, all      , 工作日,
20050326, true , all      , 週六,
20050327, true , all      , 週日,
20050328, false, all      , 工作日,
20050329, false, all      , 工作日,
20050330, false, all      , 工作日,
20050331, false, all      , 工作日,
20050401, false, all      , 工作日,
20050402, true , all      , 週六,
20050403, true , all      , 週日,
20050404, false, all      , 工作日,
20050405, true , all      , 民族掃墓節,
20050406, false, all      , 工作日,
20050407, false, all      , 工作日,
20050408, false, all      , 工作日,
20050409, true , all      , 週六,
20050410, true , all      , 週日,
20050411, false, all      , 工作日,
20050412, false, all      , 工作日,
20050413, false, all      , 工作日,
20050414, false, all      , 工作日,
20050415, false, all      , 工作日,
20050416, true , all      , 週六,
20050417, true , all      , 週日,
20050418, false, all      , 工作日,
20050419, false, all      , 工作日,
20050420, false, all      , 工作日,
20050421, false, all      , 工作日,
20050422, false, all      , 工作日,
20050423, true , all      , 週六,
20050424, true , all      , 週日,
20050425, false, all      , 工作日,
20050426, false, all      , 工作日,
20050427, false, all      , 工作日,
20050428, false, all      , 工作日,
20050429, false, all      , 工作日,
20050430, true , all      , 週六,
20050501, true , labor    , 勞動節,
20050502, false, all      , 工作日,
20050503, false, all      , 工作日,
20050504, false, all      , 工作日,
20050505, false, all      , 工作日,
20050506, false, all      , 工作日,
20050507, true , all      , 週六,
20050508, true , all      , 週日,
20050509, false, all      , 工作日,
20050510, false, all      , 工作日,
20050511, false, all      , 工作日,
20050512, false, all      , 工作日,
20050513, false, all      , 工作日,
20050514, true , all      , 週六,
20050515, true , all      , 週日,
20050516, false, all      , 工作日,
20050517, false, all      , 工作日,
20050518, false, all      , 工作日,
20050519, false, all      , 工作日,
20050520, false, all      , 工作日,
20050521, true , all      , 週六,
20050522, true , all      , 週日,
20050523, false, all      , 工作日,
20050524, false, all      , 工作日,
20050525, false, all      , 工作日,
20050526, false, all      , 工作日,
20050527, false, all      , 工作日,
20050528, true , all      , 週六,
20050529, true , all      , 週日,
20050530, false, all      , 工作日,
20050531, false, all      , 工作日,
20050601, false, all      , 工作日,
20050602, false, all      , 工作日,
20050603, false, all      , 工作日,
20050604, true , all      , 週六,
20050605, true , all      , 週日,
20050606, false, all      , 工作日,
20050607, false, all      , 工作日,
20050608, false, all      , 工作日,
20050609, false, all      , 工作日,
20050610, false, all      , 工作日,
20050611, true , all      , 端午節,
20050612, true , all      , 週日,
20050613, false, all      , 工作日,
20050614, false, all      , 工作日,
20050615, false, all      , 工作日,
20050616, false, all      , 工作日,
20050617, false, all      , 工作日,
20050618, true , all      , 週六,
20050619, true , all      , 週日,
20050620, false, all      , 工作日,
20050621, false, all      , 工作日,
20050622, false, all      , 工作日,
20050623, false, all      , 工作日,
20050624, false, all      , 工作日,
20050625, true , all      , 週六,
20050626, true , all      , 週日,
20050627, false, all      , 工作日,
20050628, false, all      , 工作日,
20050629, false, all      , 工作日,
20050630, false, all      , 工作日,
20050701, false, all      , 工作日,
20050702, true , all      , 週六,
20050703, true , all      , 週日,
20050704, false, all      , 工作日,
20050705, false, all      , 工作日,
20050706, false, all      , 工作日,
20050707, false, all      , 工作日,
20050708, false, all      , 工作日,
20050709, true , all      , 週六,
20050710, true , all      , 週日,
20050711, false, all      , 工作日,
20050712, false, all      , 工作日,
20050713, false, all      , 工作日,
20050714, false, all      , 工作日,
20050715, false, all      , 工作日,
20050716, true , all      , 週六,
20050717, true , all      , 週日,
20050718, false, all      , 工作日,
20050719, false, all      , 工作日,
20050720, false, all      , 工作日,
20050721, false, all      , 工作日,
20050722, false, all      , 工作日,
20050723, true , all      , 週六,
20050724, true , all      , 週日,
20050725, false, all      , 工作日,
20050726, false, all      , 工作日,
20050727, false, all      , 工作日,
20050728, false, all      , 工作日,
20050729, false, all      , 工作日,
20050730, true , all      , 週六,
20050731, true , all      , 週日,
20050801, false, all      , 工作日,
20050802, false, all      , 工作日,
20050803, false, all      , 工作日,
20050804, false, all      , 工作日,
20050805, false, all      , 工作日,
20050806, true , all      , 週六,
20050807, true , all      , 週日,
20050808, false, all      , 工作日,
20050809, false, all      , 工作日,
20050810, false, all      , 工作日,
20050811, false, all      , 工作日,
20050812, false, all      , 工作日,
20050813, true , all      , 週六,
20050814, true , all      , 週日,
20050815, false, all      , 工作日,
20050816, false, all      , 工作日,
20050817, false, all      , 工作日,
20050818, false, all      , 工作日,
20050819, false, all      , 工作日,
20050820, true , all      , 週六,
