date,     is_holiday, role,     description,
20090101, true , all      , 元旦,
20090102, true , all      , 調整放假,
20090103, true , all      , 週六,
20090104, true , all      , 週日,
20090105, false, all      , 工作日,
20090106, false, all      , 工作日,
20090107, false, all      , 工作日,
20090108, false, all      , 工作日,
20090109, false, all      , 工作日,
20090110, false, all      , 補上班,
20090111, true , all      , 週日,
20090112, false, all      , 工作日,
20090113, false, all      , 工作日,
20090114, false, all      , 工作日,
20090115, false, all      , 工作日,
20090116, false, all      , 工作日,
20090117, false, all      , 補上班,
20090118, true , all      , 週日,
20090119, false, all      , 工作日,
20090120, false, all      , 工作日,
20090121, false, all      , 工作日,
20090122, false, all      , 工作日,
20090123, false, all      , 工作日,
20090124, true , all      , 週六,
20090125, true , all      , 除夕,
20090126, true , all      , 春節,
20090127, true , all      , 春節,
20090128, true , all      , 春節,
20090129, true , all      , 春節補假,
20090130, true , all      , 調整放假,
20090131, true , all      , 週六,
20090201, true , all      , 週日,
20090202, false, all      , 工作日,
20090203, false, all      , 工作日,
20090204, false, all      , 工作日,
20090205, false, all      , 工作日,
20090206, false, all      , 工作日,
20090207, true , all      , 週六,
20090208, true , all      , 週日,
20090209, false, all      , 工作日,
20090210, false, all      , 工作日,
20090211, false, all      , 工作日,
20090212, false, all      , 工作日,
20090213, false, all      , 工作日,
20090214, true , all      , 週六,
20090215, true , all      , 週日,
20090216, false, all      , 工作日,
20090217, false, all      , 工作日,
20090218, false, all      , 工作日,
20090219, false, all      , 工作日,
20090220, false, all      , 工作日,
20090221, true , all      , 週六,
20090222, true , all      , 週日,
20090223, false, all      , 工作日,
20090224, false, all      , 工作日,
20090225, false, all      , 工作日,
20090226, false, all      , 工作日,
20090227, false, all      , 工作日,
20090228, true , all      , 和平紀念日,
20090301, true , all      , 週日,
20090302, false, all      , 工作日,
20090303, false, all      , 工作日,
20090304, false, all      , 工作日,
20090305, false, all      , 工作日,
20090306, false, all      , 工作日,
20090307, true , all      , 週六,
20090308, true , all      , 週日,
20090309, false, all      , 工作日,
20090310, false, all      , 工作日,
20090311, false, all      , 工作日,
20090312, false, all      , 工作日,
20090313, false, all      , 工作日,
20090314, true , all      , 週六,
20090315, true , all      , 週日,
20090316, false, all      , 工作日,
20090317, false, all      , 工作日,
20090318, false, all      , 工作日,
20090319, false, all      , 工作日,
20090320, false, all      , 工作日,
20090321, true , all      , 週六,
20090322, true , all      , 週日,
20090323, false, all      , 工作日,
20090324, false, all      , 工作日,
20090325, false, all      , 工作日,
20090326, false, all      , 工作日,
20090327, false, all      , 工作日,
20090328, true , all      , 週六,
20090329, true , all      , 週日,
20090330, false, all      , 工作日,
20090331, false, all      , 工作日,
20090401, false, all      , 工作日,
20090402, false, all      , 工作日,
20090403, false, all      , 工作日,
20090404, true , all      , 週六,
20090405, true , all      , 民族掃墓節,
20090406, false, all      , 工作日,
20090407, false, all      , 工作日,
20090408, false, all      , 工作日,
20090409, false, all      , 工作日,
20090410, false, all      , 工作日,
20090411, true , all      , 週六,
20090412, true , all      , 週日,
20090413, false, all      , 工作日,
20090414, false, all      , 工作日,
20090415, false, all      , 工作日,
20090416, false, all      , 工作日,
20090417, false, all      , 工作日,
20090418, true , all      , 週六,
20090419, true , all      , 週日,
20090420, false, all      , 工作日,
20090421, false, all      , 工作日,
20090422, false, all      , 工作日,
20090423, false, all      , 工作日,
20090424, false, all      , 工作日,
20090425, true , all      , 週六,
20090426, true , all      , 週日,
20090427, false, all      , 工作日,
20090428, false, all      , 工作日,
20090429, false, all      , 工作日,
20090430, false, all      , 工作日,
20090501, true , labor    , 勞動節,
20090502, true , all      , 週六,
20090503, true , all      , 週日,
20090504, false, all      , 工作日,
20090505, false, all      , 工作日,
20090506, false, all      , 工作日,
20090507, false, all      , 工作日,
20090508, false, all      , 工作日,
20090509, true , all      , 週六,
20090510, true , all      , 週日,
20090511, false, all      , 工作日,
20090512, false, all      , 工作日,
20090513, false, all      , 工作日,
20090514, false, all      , 工作日,
20090515, false, all      , 工作日,
20090516, true , all      , 週六,
20090517, true , all      , 週日,
20090518, false, all      , 工作日,
20090519, false, all      , 工作日,
20090520, false, all      , 工作日,
20090521, false, all      , 工作日,
20090522, false, all      , 工作日,
20090523, true , all      , 週六,
20090524, true , all      , 週日,
20090525, false, all      , 工作日,
20090526, false, all      , 工作日,
20090527, false, all      , 工作日,
20090528, true , all      , 端午節,
20090529, true , all      , 調整放假,
20090530, true , all      , 週六,
20090531, true , all      , 週日,
20090601, false, all      , 工作日,
20090602, false, all      , 工作日,
20090603, false, all      , 工作日,
20090604, false, all      , 工作日,
20090605, false, all      , 工作日,
20090606, false, all      , 補上班,
20090607, true , all      , 週日,
20090608, false, all      , 工作日,
20090609, false, all      , 工作日,
20090610, false, all      , 工作日,
20090611, false, all      , 工作日,
20090612, false, all      , 工作日,
20090613, true , all      , 週六,
20090614, true , all      , 週日,
20090615, false, all      , 工作日,
20090616, false, all      , 工作日,
20090617, false, all      , 工作日,
20090618, false, all      , 工作日,
20090619, false, all      , 工作日,
20090620, true , all      , 週六,
20090621, true , all      , 週日,
20090622, false, all      , 工作日,
20090623, false, all      , 工作日,
20090624, false, all      , 工作日,
20090625, false, all      , 工作日,
20090626, false, all      , 工作日,
20090627, true , all      , 週六,
20090628, true , all      , 週日,
20090629, false, all      , 工作日,
20090630, false, all      , 工作日,
20090701, false, all      , 工作日,
20090702, false, all      , 工作日,
20090703, false, all      , 工作日,
20090704, true , all      , 週六,
20090705, true , all      , 週日,
20090706, false, all      , 工作日,
20090707, false, all      , 工作日,
20090708, false, all      , 工作日,
20090709, false, all      , 工作日,
20090710, false, all      , 工作日,
20090711, true , all      , 週六,
20090712, true , all      , 週日,
20090713, false, all      , 工作日,
20090714, false, all      , 工作日,
20090715, false, all      , 工作日,
20090716, false, all      , 工作日,
20090717, false, all      , 工作日,
20090718, true , all      , 週六,
20090719, true , all      , 週日,
20090720, false, all      , 工作日,
20090721, false, all      , 工作日,
20090722, false, all      , 工作日,
20090723, false, all      , 工作日,
20090724, false, all      , 工作日,
20090725, true , all      , 週六,
20090726, true , all      , 週日,
20090727, false, all      , 工作日,
20090728, false, all      , 工作日,
20090729, false, all      , 工作日,
20090730, false, all      , 工作日,
20090731, false, all      , 工作日,
20090801, true , all      , 週六,
20090802, true , all      , 週日,
20090803, false, all      , 工作日,
20090804, false, all      , 工作日,
20090805, false, all      , 工作日,
20090806, false, all      , 工作日,
20090807, false, all      , 工作日,
20090808, true , all      , 週六,
20090809, true , all      , 週日,
20090810, false, all      , 工作日,
20090811, false, all      , 工作日,
20090812, false, all      , 工作日,
20090813, false, all      , 工作日,
20090814, false, all      , 工作日,
