date,     is_holiday, role,     description,
20160101, true , all      , 元旦,
20160102, true , all      , 週六,
20160103, true , all      , 週日,
20160104, false, all      , 工作日,
20160105, false, all      , 工作日,
20160106, false, all      , 工作日,
20160107, false, all      , 工作日,
20160108, false, all      , 工作日,
20160109, true , all      , 週六,
20160110, true , all      , 週日,
20160111, false, all      , 工作日,
20160112, false, all      , 工作日,
20160113, false, all      , 工作日,
20160114, false, all      , 工作日,
20160115, false, all      , 工作日,
20160116, true , all      , 週六,
20160117, true , all      , 週日,
20160118, false, all      , 工作日,
20160119, false, all      , 工作日,
20160120, false, all      , 工作日,
20160121, false, all      , 工作日,
20160122, false, all      , 工作日,
20160123, true , all      , 週六,
20160124, true , all      , 週日,
20160125, false, all      , 工作日,
20160126, false, all      , 工作日,
20160127, false, all      , 工作日,
20160128, false, all      , 工作日,
20160129, false, all      , 工作日,
20160130, false, all      , 補上班,
20160131, true , all      , 週日,
20160201, false, all      , 工作日,
20160202, false, all      , 工作日,
20160203, false, all      , 工作日,
20160204, false, all      , 工作日,
20160205, false, all      , 工作日,
20160206, true , all      , 週六,
20160207, true , all      , 除夕,
20160208, true , all      , 春節,
20160209, true , all      , 春節,
20160210, true , all      , 春節,
20160211, true , all      , 春節補假,
20160212, true , all      , 調整放假,
20160213, true , all      , 週六,
20160214, true , all      , 週日,
20160215, false, all      , 工作日,
20160216, false, all      , 工作日,
20160217, false, all      , 工作日,
20160218, false, all      , 工作日,
20160219, false, all      , 工作日,
20160220, true , all      , 週六,
20160221, true , all      , 週日,
20160222, false, all      , 工作日,
20160223, false, all      , 工作日,
20160224, false, all      , 工作日,
20160225, false, all      , 工作日,
20160226, false, all      , 工作日,
20160227, true , all      , 週六,
20160228, true , all      , 和平紀念日,
20160229, true , all      , 和平紀念日補假,
20160301, false, all      , 工作日,
20160302, false, all      , 工作日,
20160303, false, all      , 工作日,
20160304, false, all      , 工作日,
20160305, true , all      , 週六,
20160306, true , all      , 週日,
20160307, false, all      , 工作日,
20160308, false, all      , 工作日,
20160309, false, all      , 工作日,
20160310, false, all      , 工作日,
20160311, false, all      , 工作日,
20160312, true , all      , 週六,
20160313, true , all      , 週日,
20160314, false, all      , 工作日,
20160315, false, all      , 工作日,
20160316, false, all      , 工作日,
20160317, false, all      , 工作日,
20160318, false, all      , 工作日,
20160319, true , all      , 週六,
20160320, true , all      , 週日,
20160321, false, all      , 工作日,
20160322, false, all      , 工作日,
20160323, false, all      , 工作日,
20160324, false, all      , 工作日,
20160325, false, all      , 工作日,
20160326, true , all      , 週六,
20160327, true , all      , 週日,
20160328, false, all      , 工作日,
20160329, false, all      , 工作日,
20160330, false, all      , 工作日,
20160331, false, all      , 工作日,
20160401, false, all      , 工作日,
20160402, true , all      , 週六,
20160403, true , all      , 週日,
20160404, true , all      , 兒童節,
20160405, true , all      , 民族掃墓節,
20160406, false, all      , 工作日,
20160407, false, all      , 工作日,
20160408, false, all      , 工作日,
20160409, true , all      , 週六,
20160410, true , all      , 週日,
20160411, false, all      , 工作日,
20160412, false, all      , 工作日,
20160413, false, all      , 工作日,
20160414, false, all      , 工作日,
20160415, false, all      , 工作日,
20160416, true , all      , 週六,
20160417, true , all      , 週日,
20160418, false, all      , 工作日,
20160419, false, all      , 工作日,
20160420, false, all      , 工作日,
20160421, false, all      , 工作日,
20160422, false, all      , 工作日,
20160423, true , all      , 週六,
20160424, true , all      , 週日,
20160425, false, all      , 工作日,
20160426, false, all      , 工作日,
20160427, false, all      , 工作日,
20160428, false, all      , 工作日,
20160429, false, all      , 工作日,
20160430, true , all      , 週六,
20160501, true , labor    , 勞動節,
20160502, false, all      , 工作日,
20160503, false, all      , 工作日,
20160504, false, all      , 工作日,
20160505, false, all      , 工作日,
20160506, false, all      , 工作日,
20160507, true , all      , 週六,
20160508, true , all      , 週日,
20160509, false, all      , 工作日,
20160510, false, all      , 工作日,
20160511, false, all      , 工作日,
20160512, false, all      , 工作日,
20160513, false, all      , 工作日,
20160514, true , all      , 週六,
20160515, true , all      , 週日,
20160516, false, all      , 工作日,
20160517, false, all      , 工作日,
20160518, false, all      , 工作日,
20160519, false, all      , 工作日,
20160520, false, all      , 工作日,
20160521, true , all      , 週六,
20160522, true , all      , 週日,
20160523, false, all      , 工作日,
20160524, false, all      , 工作日,
20160525, false, all      , 工作日,
20160526, false, all      , 工作日,
20160527, false, all      , 工作日,
20160528, true , all      , 週六,
20160529, true , all      , 週日,
20160530, false, all      , 工作日,
20160531, false, all      , 工作日,
20160601, false, all      , 工作日,
20160602, false, all      , 工作日,
20160603, false, all      , 工作日,
20160604, false, all      , 補上班,
20160605, true , all      , 週日,
20160606, false, all      , 工作日,
20160607, false, all      , 工作日,
20160608, false, all      , 工作日,
20160609, true , all      , 端午節,
20160610, true , all      , 調整放假,
20160611, true , all      , 週六,
20160612, true , all      , 週日,
20160613, false, all      , 工作日,
20160614, false, all      , 工作日,
20160615, false, all      , 工作日,
20160616, false, all      , 工作日,
20160617, false, all      , 工作日,
20160618, true , all      , 週六,
20160619, true , all      , 週日,
20160620, false, all      , 工作日,
20160621, false, all      , 工作日,
20160622, false, all      , 工作日,
20160623, false, all      , 工作日,
20160624, false, all      , 工作日,
20160625, true , all      , 週六,
20160626, true , all      , 週日,
20160627, false, all      , 工作日,
20160628, false, all      , 工作日,
20160629, false, all      , 工作日,
20160630, false, all      , 工作日,
20160701, false, all      , 工作日,
20160702, true , all      , 週六,
20160703, true , all      , 週日,
20160704, false, all      , 工作日,
20160705, false, all      , 工作日,
20160706, false, all      , 工作日,
20160707, false, all      , 工作日,
20160708, false, all      , 工作日,
20160709, true , all      , 週六,
20160710, true , all      , 週日,
20160711, false, all      , 工作日,
20160712, false, all      , 工作日,
20160713, false, all      , 工作日,
20160714, false, all      , 工作日,
20160715, false, all      , 工作日,
20160716, true , all      , 週六,
20160717, true , all      , 週日,
20160718, false, all      , 工作日,
20160719, false, all      , 工作日,
20160720, false, all      , 工作日,
20160721, false, all      , 工作日,
20160722, false, all      , 工作日,
20160723, true , all      , 週六,
20160724, true , all      , 週日,
20160725, false, all      , 工作日,
20160726, false, all      , 工作日,
20160727, false, all      , 工作日,
20160728, false, all      , 工作日,
20160729, false, all      , 工作日,
20160730, true , all      , 週六,
20160731, true , all      , 週日,
20160801, false, all      , 工作日,
20160802, false, all      , 工作日,
20160803, false, all      , 工作日,
20160804, false, all      , 工作日,
20160805, false, all      , 工作日,
20160806, true , all      , 週六,
20160807, true , all      , 週日,
20160808, false, all      , 工作日,
20160809, false, all      , 工作日,
20160810, false, all      , 工作日,
20160811, false, all      , 工作日,
20160812, false, all      , 工作日,
20160813, true , all      , 週六,
20160814, true , all      , 週日,
20160815, false, all      , 工作日,
20160816, false, all      , 工作日,
20160817, false, all      , 工作日,
20160818, false, all      , 工作日,
20160819, false, all      , 工作日,
20160820, true , all      , 週六,
20160821, true , all      , 週日,
20160822, false, all      , 工作日,
20160823, false, all      , 工作日,
20160824, false, all      , 工作日,
20160825, false, all      , 工作日,
20160826, false, all      , 工作日,
20160827, true , all      , 週六,
20160828, true , all      , 週日,
20160829, false, all      , 工作日,
20160830, false, all      , 工作日,
20160831, false, all      , 工作日,
20160901, false, all      , 工作日,
20160902, false, all      , 工作日,
20160903, true , soldier , 軍人節,
20160904, true , all      , 週日,
20160905, false, all      , 工作日,
20160906, false, all      , 工作日,
20160907, false, all      , 工作日,
20160908, false, all      , 工作日,
20160909, false, all      , 工作日,
20160910, false, all      , 補上班,
20160911, true , all      , 週日,
20160912, false, all      , 工作日,
20160913, false, all      , 工作日,
20160914, false, all      , 工作日,
20160915, true , all      , 中秋節,
20160916, true , all      , 調整放假,
20160917, true , all      , 週六,
20160918, true , all      , 週日,
20160919, false, all      , 工作日,
20160920, false, all      , 工作日,
20160921, false, all      , 工作日,
20160922, false, all      , 工作日,
20160923, false, all      , 工作日,
20160924, true , all      , 週六,
20160925, true , all      , 週日,
20160926, false, all      , 工作日,
20160927, false, all      , 工作日,
20160928, false, all      , 工作日,
20160929, false, all      , 工作日,
20160930, false, all      , 工作日,
20161001, true , all      , 週六,
20161002, true , all      , 週日,
20161003, false, all      , 工作日,
20161004, false, all      , 工作日,
20161005, false, all      , 工作日,
20161006, false, all      , 工作日,
20161007, false, all      , 工作日,
20161008, true , all      , 週六,
20161009, true , all      , 週日,
20161010, true , all      , 國慶日,
20161011, false, all      , 工作日,
20161012, false, all      , 工作日,
20161013, false, all      , 工作日,
20161014, false, all      , 工作日,
20161015, true , all      , 週六,
20161016, true , all      , 週日,
20161017, false, all      , 工作日,
20161018, false, all      , 工作日,
20161019, false, all      , 工作日,
20161020, false, all      , 工作日,
20161021, false, all      , 工作日,
20161022, true , all      , 週六,
20161023, true , all      , 週日,
20161024, false, all      , 工作日,
20161025, false, all      , 工作日,
20161026, false, all      , 工作日,
20161027, false, all      , 工作日,
20161028, false, all      , 工作日,
20161029, true , all      , 週六,
20161030, true , all      , 週日,
20161031, false, all      , 工作日,
20161101, false, all      , 工作日,
20161102, false, all      , 工作日,
20161103, false, all      , 工作日,
20161104, false, all      , 工作日,
20161105, true , all      , 週六,
20161106, true , all      , 週日,
20161107, false, all      , 工作日,
