date,     is_holiday, role,     description,
20240101, true , all     , 開國紀念日,
20240102, false, all     , 工作日,
20240103, false, all     , 工作日,
20240104, false, all     , 工作日,
20240105, false, all     , 工作日,
20240106, true , all     , 週六,
20240107, true , all     , 週日,
20240108, false, all     , 工作日,
20240109, false, all     , 工作日,
20240110, false, all     , 工作日,
20240111, false, all     , 工作日,
20240112, false, all     , 工作日,
20240113, true , all     , 週六,
20240114, true , all     , 週日,
20240115, false, all     , 工作日,
20240116, false, all     , 工作日,
20240117, false, all     , 工作日,
20240118, false, all     , 工作日,
20240119, false, all     , 工作日,
20240120, true , all     , 週六,
20240121, true , all     , 週日,
20240122, false, all     , 工作日,
20240123, false, all     , 工作日,
20240124, false, all     , 工作日,
20240125, false, all     , 工作日,
20240126, false, all     , 工作日,
20240127, true , all     , 週六,
20240128, true , all     , 週日,
20240129, false, all     , 工作日,
20240130, false, all     , 工作日,
20240131, false, all     , 工作日,
20240201, false, all     , 工作日,
20240202, false, all     , 工作日,
20240203, true , all     , 週六,
20240204, true , all     , 週日,
20240205, false, all     , 工作日,
20240206, false, all     , 工作日,
20240207, false, all     , 工作日,
20240208, true , all     , 小年夜,
20240209, true , all     , 農曆除夕,
20240210, true , all     , 春節,
20240211, true , all     , 春節,
20240212, true , all     , 春節,
20240213, true , all     , 補假,
20240214, true , all     , 補假,
20240215, false, all     , 工作日,
20240216, false, all     , 工作日,
20240217, false, all     , 補行上班,
20240218, true , all     , 週日,
20240219, false, all     , 工作日,
20240220, false, all     , 工作日,
20240221, false, all     , 工作日,
20240222, false, all     , 工作日,
20240223, false, all     , 工作日,
20240224, true , all     , 週六,
20240225, true , all     , 週日,
20240226, false, all     , 工作日,
20240227, false, all     , 工作日,
20240228, true , all     , 和平紀念日,
20240229, false, all     , 工作日,
20240301, false, all     , 工作日,
20240302, true , all     , 週六,
20240303, true , all     , 週日,
20240304, false, all     , 工作日,
20240305, false, all     , 工作日,
20240306, false, all     , 工作日,
20240307, false, all     , 工作日,
20240308, false, all     , 工作日,
20240309, true , all     , 週六,
20240310, true , all     , 週日,
20240311, false, all     , 工作日,
20240312, false, all     , 工作日,
20240313, false, all     , 工作日,
20240314, false, all     , 工作日,
20240315, false, all     , 工作日,
20240316, true , all     , 週六,
20240317, true , all     , 週日,
20240318, false, all     , 工作日,
20240319, false, all     , 工作日,
20240320, false, all     , 工作日,
20240321, false, all     , 工作日,
20240322, false, all     , 工作日,
20240323, true , all     , 週六,
20240324, true , all     , 週日,
20240325, false, all     , 工作日,
20240326, false, all     , 工作日,
20240327, false, all     , 工作日,
20240328, false, all     , 工作日,
20240329, false, all     , 工作日,
20240330, true , all     , 週六,
20240331, true , all     , 週日,
20240401, false, all     , 工作日,
20240402, false, all     , 工作日,
20240403, false, all     , 工作日,
20240404, true , all     , 兒童節及民族掃墓節,
20240405, true , all     , 補假,
20240406, true , all     , 週六,
20240407, true , all     , 週日,
20240408, false, all     , 工作日,
20240409, false, all     , 工作日,
20240410, false, all     , 工作日,
20240411, false, all     , 工作日,
20240412, false, all     , 工作日,
20240413, true , all     , 週六,
20240414, true , all     , 週日,
20240415, false, all     , 工作日,
20240416, false, all     , 工作日,
20240417, false, all     , 工作日,
20240418, false, all     , 工作日,
20240419, false, all     , 工作日,
20240420, true , all     , 週六,
20240421, true , all     , 週日,
20240422, false, all     , 工作日,
20240423, false, all     , 工作日,
20240424, false, all     , 工作日,
20240425, false, all     , 工作日,
20240426, false, all     , 工作日,
20240427, true , all     , 週六,
20240428, true , all     , 週日,
20240429, false, all     , 工作日,
20240430, false, all     , 工作日,
20240501, true , labor   , 勞動節,
20240502, false, all     , 工作日,
20240503, false, all     , 工作日,
20240504, true , all     , 週六,
20240505, true , all     , 週日,
20240506, false, all     , 工作日,
20240507, false, all     , 工作日,
20240508, false, all     , 工作日,
20240509, false, all     , 工作日,
20240510, false, all     , 工作日,
20240511, true , all     , 週六,
20240512, true , all     , 週日,
20240513, false, all     , 工作日,
20240514, false, all     , 工作日,
20240515, false, all     , 工作日,
20240516, false, all     , 工作日,
20240517, false, all     , 工作日,
20240518, true , all     , 週六,
20240519, true , all     , 週日,
20240520, false, all     , 工作日,
20240521, false, all     , 工作日,
20240522, false, all     , 工作日,
20240523, false, all     , 工作日,
20240524, false, all     , 工作日,
20240525, true , all     , 週六,
20240526, true , all     , 週日,
20240527, false, all     , 工作日,
20240528, false, all     , 工作日,
20240529, false, all     , 工作日,
20240530, false, all     , 工作日,
20240531, false, all     , 工作日,
20240601, true , all     , 週六,
20240602, true , all     , 週日,
20240603, false, all     , 工作日,
20240604, false, all     , 工作日,
20240605, false, all     , 工作日,
20240606, false, all     , 工作日,
20240607, false, all     , 工作日,
20240608, true , all     , 週六,
20240609, true , all     , 週日,
20240610, true , all     , 端午節,
20240611, false, all     , 工作日,
20240612, false, all     , 工作日,
20240613, false, all     , 工作日,
20240614, false, all     , 工作日,
20240615, true , all     , 週六,
20240616, true , all     , 週日,
20240617, false, all     , 工作日,
20240618, false, all     , 工作日,
20240619, false, all     , 工作日,
20240620, false, all     , 工作日,
20240621, false, all     , 工作日,
20240622, true , all     , 週六,
20240623, true , all     , 週日,
20240624, false, all     , 工作日,
20240625, false, all     , 工作日,
20240626, false, all     , 工作日,
20240627, false, all     , 工作日,
20240628, false, all     , 工作日,
20240629, true , all     , 週六,
20240630, true , all     , 週日,
20240701, false, all     , 工作日,
20240702, false, all     , 工作日,
20240703, false, all     , 工作日,
20240704, false, all     , 工作日,
20240705, false, all     , 工作日,
20240706, true , all     , 週六,
20240707, true , all     , 週日,
20240708, false, all     , 工作日,
20240709, false, all     , 工作日,
20240710, false, all     , 工作日,
20240711, false, all     , 工作日,
20240712, false, all     , 工作日,
20240713, true , all     , 週六,
20240714, true , all     , 週日,
20240715, false, all     , 工作日,
20240716, false, all     , 工作日,
20240717, false, all     , 工作日,
20240718, false, all     , 工作日,
20240719, false, all     , 工作日,
20240720, true , all     , 週六,
20240721, true , all     , 週日,
20240722, false, all     , 工作日,
20240723, false, all     , 工作日,
20240724, false, all     , 工作日,
20240725, false, all     , 工作日,
20240726, false, all     , 工作日,
20240727, true , all     , 週六,
20240728, true , all     , 週日,
20240729, false, all     , 工作日,
20240730, false, all     , 工作日,
20240731, false, all     , 工作日,
20240801, false, all     , 工作日,
20240802, false, all     , 工作日,
20240803, true , all     , 週六,
20240804, true , all     , 週日,
20240805, false, all     , 工作日,
20240806, false, all     , 工作日,
20240807, false, all     , 工作日,
20240808, false, all     , 工作日,
20240809, false, all     , 工作日,
20240810, true , all     , 週六,
20240811, true , all     , 週日,
20240812, false, all     , 工作日,
20240813, false, all     , 工作日,
20240814, false, all     , 工作日,
20240815, false, all     , 工作日,
20240816, false, all     , 工作日,
20240817, true , all     , 週六,
20240818, true , all     , 週日,
20240819, false, all     , 工作日,
20240820, false, all     , 工作日,
20240821, false, all     , 工作日,
20240822, false, all     , 工作日,
20240823, false, all     , 工作日,
20240824, true , all     , 週六,
20240825, true , all     , 週日,
20240826, false, all     , 工作日,
20240827, false, all     , 工作日,
20240828, false, all     , 工作日,
20240829, false, all     , 工作日,
20240830, false, all     , 工作日,
20240831, true , all     , 週六,
20240901, true , all     , 週日,
20240902, false, all     , 工作日,
20240903, true , soldier , 軍人節,
20240904, false, all     , 工作日,
20240905, false, all     , 工作日,
20240906, false, all     , 工作日,
20240907, true , all     , 週六,
20240908, true , all     , 週日,
20240909, false, all     , 工作日,
20240910, false, all     , 工作日,
20240911, false, all     , 工作日,
20240912, false, all     , 工作日,
20240913, false, all     , 工作日,
20240914, true , all     , 週六,
20240915, true , all     , 週日,
20240916, false, all     , 工作日,
20240917, true , all     , 中秋節,
20240918, false, all     , 工作日,
20240919, false, all     , 工作日,
20240920, false, all     , 工作日,
20240921, true , all     , 週六,
20240922, true , all     , 週日,
20240923, false, all     , 工作日,
20240924, false, all     , 工作日,
20240925, false, all     , 工作日,
20240926, false, all     , 工作日,
20240927, false, all     , 工作日,
20240928, true , all     , 週六,
20240929, true , all     , 週日,
20240930, false, all     , 工作日,
20241001, false, all     , 工作日,
20241002, false, all     , 工作日,
20241003, false, all     , 工作日,
20241004, false, all     , 工作日,
20241005, true , all     , 週六,
20241006, true , all     , 週日,
20241007, false, all     , 工作日,
20241008, false, all     , 工作日,
20241009, false, all     , 工作日,
20241010, true , all     , 國慶日,
