date,     is_holiday, role,     description,
20150101, true , all      , 元旦,
20150102, true , all      , 調整放假,
20150103, true , all      , 週六,
20150104, true , all      , 週日,
20150105, false, all      , 工作日,
20150106, false, all      , 工作日,
20150107, false, all      , 工作日,
20150108, false, all      , 工作日,
20150109, false, all      , 工作日,
20150110, true , all      , 週六,
20150111, true , all      , 週日,
20150112, false, all      , 工作日,
20150113, false, all      , 工作日,
20150114, false, all      , 工作日,
20150115, false, all      , 工作日,
20150116, false, all      , 工作日,
20150117, true , all      , 週六,
20150118, true , all      , 週日,
20150119, false, all      , 工作日,
20150120, false, all      , 工作日,
20150121, false, all      , 工作日,
20150122, false, all      , 工作日,
20150123, false, all      , 工作日,
20150124, true , all      , 週六,
20150125, true , all      , 週日,
20150126, false, all      , 工作日,
20150127, false, all      , 工作日,
20150128, false, all      , 工作日,
20150129, false, all      , 工作日,
20150130, false, all      , 工作日,
20150131, true , all      , 週六,
20150201, true , all      , 週日,
20150202, false, all      , 工作日,
20150203, false, all      , 工作日,
20150204, false, all      , 工作日,
20150205, false, all      , 工作日,
20150206, false, all      , 工作日,
20150207, true , all      , 週六,
20150208, true , all      , 週日,
20150209, false, all      , 工作日,
20150210, false, all      , 工作日,
20150211, false, all      , 工作日,
20150212, false, all      , 工作日,
20150213, false, all      , 工作日,
20150214, true , all      , 週六,
20150215, true , all      , 週日,
20150216, false, all      , 工作日,
20150217, false, all      , 工作日,
20150218, true , all      , 除夕,
20150219, true , all      , 春節,
20150220, true , all      , 春節,
20150221, true , all      , 春節,
20150222, true , all      , 週日,
20150223, true , all      , 春節補假,
20150224, false, all      , 工作日,
20150225, false, all      , 工作日,
20150226, false, all      , 工作日,
20150227, true , all      , 和平紀念日補假,
20150228, true , all      , 和平紀念日,
20150301, true , all      , 週日,
20150302, false, all      , 工作日,
20150303, false, all      , 工作日,
20150304, false, all      , 工作日,
20150305, false, all      , 工作日,
20150306, false, all      , 工作日,
20150307, true , all      , 週六,
20150308, true , all      , 週日,
20150309, false, all      , 工作日,
20150310, false, all      , 工作日,
20150311, false, all      , 工作日,
20150312, false, all      , 工作日,
20150313, false, all      , 工作日,
20150314, true , all      , 週六,
20150315, true , all      , 週日,
20150316, false, all      , 工作日,
20150317, false, all      , 工作日,
20150318, false, all      , 工作日,
20150319, false, all      , 工作日,
20150320, false, all      , 工作日,
20150321, true , all      , 週六,
20150322, true , all      , 週日,
20150323, false, all      , 工作日,
20150324, false, all      , 工作日,
20150325, false, all      , 工作日,
20150326, false, all      , 工作日,
20150327, false, all      , 工作日,
20150328, true , all      , 週六,
20150329, true , all      , 週日,
20150330, false, all      , 工作日,
20150331, false, all      , 工作日,
20150401, false, all      , 工作日,
20150402, false, all      , 工作日,
20150403, true , all      , 兒童節補假,
20150404, true , all      , 兒童節,
20150405, true , all      , 民族掃墓節,
20150406, true , all      , 民族掃墓節補假,
20150407, false, all      , 工作日,
20150408, false, all      , 工作日,
20150409, false, all      , 工作日,
20150410, false, all      , 工作日,
20150411, true , all      , 週六,
20150412, true , all      , 週日,
20150413, false, all      , 工作日,
20150414, false, all      , 工作日,
20150415, false, all      , 工作日,
20150416, false, all      , 工作日,
20150417, false, all      , 工作日,
20150418, true , all      , 週六,
20150419, true , all      , 週日,
20150420, false, all      , 工作日,
20150421, false, all      , 工作日,
20150422, false, all      , 工作日,
20150423, false, all      , 工作日,
20150424, false, all      , 工作日,
20150425, true , all      , 週六,
20150426, true , all      , 週日,
20150427, false, all      , 工作日,
20150428, false, all      , 工作日,
20150429, false, all      , 工作日,
20150430, false, all      , 工作日,
20150501, true , labor    , 勞動節,
20150502, true , all      , 週六,
20150503, true , all      , 週日,
20150504, false, all      , 工作日,
20150505, false, all      , 工作日,
20150506, false, all      , 工作日,
20150507, false, all      , 工作日,
20150508, false, all      , 工作日,
20150509, true , all      , 週六,
20150510, true , all      , 週日,
20150511, false, all      , 工作日,
20150512, false, all      , 工作日,
20150513, false, all      , 工作日,
20150514, false, all      , 工作日,
20150515, false, all      , 工作日,
20150516, true , all      , 週六,
20150517, true , all      , 週日,
20150518, false, all      , 工作日,
20150519, false, all      , 工作日,
20150520, false, all      , 工作日,
20150521, false, all      , 工作日,
20150522, false, all      , 工作日,
20150523, true , all      , 週六,
20150524, true , all      , 週日,
20150525, false, all      , 工作日,
20150526, false, all      , 工作日,
20150527, false, all      , 工作日,
20150528, false, all      , 工作日,
20150529, false, all      , 工作日,
20150530, true , all      , 週六,
20150531, true , all      , 週日,
20150601, false, all      , 工作日,
20150602, false, all      , 工作日,
20150603, false, all      , 工作日,
20150604, false, all      , 工作日,
20150605, false, all      , 工作日,
20150606, true , all      , 週六,
20150607, true , all      , 週日,
20150608, false, all      , 工作日,
20150609, false, all      , 工作日,
20150610, false, all      , 工作日,
20150611, false, all      , 工作日,
20150612, false, all      , 工作日,
20150613, true , all      , 週六,
20150614, true , all      , 週日,
20150615, false, all      , 工作日,
20150616, false, all      , 工作日,
20150617, false, all      , 工作日,
20150618, false, all      , 工作日,
20150619, true , all      , 端午節補假,
20150620, true , all      , 端午節,
20150621, true , all      , 週日,
20150622, false, all      , 工作日,
20150623, false, all      , 工作日,
20150624, false, all      , 工作日,
20150625, false, all      , 工作日,
20150626, false, all      , 工作日,
20150627, true , all      , 週六,
20150628, true , all      , 週日,
20150629, false, all      , 工作日,
20150630, false, all      , 工作日,
20150701, false, all      , 工作日,
20150702, false, all      , 工作日,
20150703, false, all      , 工作日,
20150704, true , all      , 週六,
20150705, true , all      , 週日,
20150706, false, all      , 工作日,
20150707, false, all      , 工作日,
20150708, false, all      , 工作日,
20150709, false, all      , 工作日,
20150710, false, all      , 工作日,
20150711, true , all      , 週六,
20150712, true , all      , 週日,
20150713, false, all      , 工作日,
20150714, false, all      , 工作日,
20150715, false, all      , 工作日,
20150716, false, all      , 工作日,
20150717, false, all      , 工作日,
20150718, true , all      , 週六,
20150719, true , all      , 週日,
20150720, false, all      , 工作日,
20150721, false, all      , 工作日,
20150722, false, all      , 工作日,
20150723, false, all      , 工作日,
20150724, false, all      , 工作日,
20150725, true , all      , 週六,
20150726, true , all      , 週日,
20150727, false, all      , 工作日,
20150728, false, all      , 工作日,
20150729, false, all      , 工作日,
20150730, false, all      , 工作日,
20150731, false, all      , 工作日,
20150801, true , all      , 週六,
20150802, true , all      , 週日,
20150803, false, all      , 工作日,
20150804, false, all      , 工作日,
20150805, false, all      , 工作日,
20150806, false, all      , 工作日,
20150807, false, all      , 工作日,
20150808, true , all      , 週六,
20150809, true , all      , 週日,
20150810, false, all      , 工作日,
20150811, false, all      , 工作日,
20150812, false, all      , 工作日,
20150813, false, all      , 工作日,
20150814, false, all      , 工作日,
20150815, true , all      , 週六,
20150816, true , all      , 週日,
20150817, false, all      , 工作日,
20150818, false, all      , 工作日,
20150819, false, all      , 工作日,
20150820, false, all      , 工作日,
20150821, false, all      , 工作日,
20150822, true , all      , 週六,
20150823, true , all      , 週日,
20150824, false, all      , 工作日,
20150825, false, all      , 工作日,
20150826, false, all      , 工作日,
20150827, false, all      , 工作日,
20150828, false, all      , 工作日,
20150829, true , all      , 週六,
20150830, true , all      , 週日,
20150831, false, all      , 工作日,
20150901, false, all      , 工作日,
20150902, false, all      , 工作日,
20150903, true , soldier , 軍人節,
20150904, false, all      , 工作日,
20150905, true , all      , 週六,
20150906, true , all      , 週日,
20150907, false, all      , 工作日,
20150908, false, all      , 工作日,
20150909, false, all      , 工作日,
20150910, false, all      , 工作日,
20150911, false, all      , 工作日,
20150912, true , all      , 週六,
20150913, true , all      , 週日,
