date,     is_holiday, role,     description,
20250101, true , all     , 開國紀念日,
20250102, false, none    , 工作日,
20250103, false, none    , 工作日,
20250104, true , all     , 週六,
20250105, true , all     , 週日,
20250106, false, none    , 工作日,
20250107, false, none    , 工作日,
20250108, false, none    , 工作日,
20250109, false, none    , 工作日,
20250110, false, none    , 工作日,
20250111, true , all     , 週六,
20250112, true , all     , 週日,
20250113, false, none    , 工作日,
20250114, false, none    , 工作日,
20250115, false, none    , 工作日,
20250116, false, none    , 工作日,
20250117, false, none    , 工作日,
20250118, true , all     , 週六,
20250119, true , all     , 週日,
20250120, false, none    , 工作日,
20250121, false, none    , 工作日,
20250122, false, none    , 工作日,
20250123, false, none    , 工作日,
20250124, false, none    , 工作日,
20250125, true , all     , 週六,
20250126, true , all     , 週日,
20250127, true , all     , 小年夜,
20250128, true , all     , 農曆除夕,
20250129, true , all     , 春節,
20250130, true , all     , 春節,
20250131, true , all     , 春節,
20250201, true , all     , 週六,
20250202, true , all     , 週日,
20250203, false, none    , 工作日,
20250204, false, none    , 工作日,
20250205, false, none    , 工作日,
20250206, false, none    , 工作日,
20250207, false, none    , 工作日,
20250208, false, none    , 補行上班,
20250209, true , all     , 週日,
20250210, false, none    , 工作日,
20250211, false, none    , 工作日,
20250212, false, none    , 工作日,
20250213, false, none    , 工作日,
20250214, false, none    , 工作日,
20250215, true , all     , 週六,
20250216, true , all     , 週日,
20250217, false, none    , 工作日,
20250218, false, none    , 工作日,
20250219, false, none    , 工作日,
20250220, false, none    , 工作日,
20250221, false, none    , 工作日,
20250222, true , all     , 週六,
20250223, true , all     , 週日,
20250224, false, none    , 工作日,
20250225, false, none    , 工作日,
20250226, false, none    , 工作日,
20250227, false, none    , 工作日,
20250228, true , all     , 和平紀念日,
20250301, true , all     , 週六,
20250302, true , all     , 週日,
20250303, false, none    , 工作日,
20250304, false, none    , 工作日,
20250305, false, none    , 工作日,
20250306, false, none    , 工作日,
20250307, false, none    , 工作日,
20250308, true , all     , 週六,
20250309, true , all     , 週日,
20250310, false, none    , 工作日,
20250311, false, none    , 工作日,
20250312, false, none    , 工作日,
20250313, false, none    , 工作日,
20250314, false, none    , 工作日,
20250315, true , all     , 週六,
20250316, true , all     , 週日,
20250317, false, none    , 工作日,
20250318, false, none    , 工作日,
20250319, false, none    , 工作日,
20250320, false, none    , 工作日,
20250321, false, none    , 工作日,
20250322, true , all     , 週六,
20250323, true , all     , 週日,
20250324, false, none    , 工作日,
20250325, false, none    , 工作日,
20250326, false, none    , 工作日,
20250327, false, none    , 工作日,
20250328, false, none    , 工作日,
20250329, true , all     , 週六,
20250330, true , all     , 週日,
20250331, false, none    , 工作日,
20250401, false, none    , 工作日,
20250402, false, none    , 工作日,
20250403, true , all     , 補假,
20250404, true , all     , 兒童節及民族掃墓節,
20250405, true , all     , 週六,
20250406, true , all     , 週日,
20250407, false, none    , 工作日,
20250408, false, none    , 工作日,
20250409, false, none    , 工作日,
20250410, false, none    , 工作日,
20250411, false, none    , 工作日,
20250412, true , all     , 週六,
20250413, true , all     , 週日,
20250414, false, none    , 工作日,
20250415, false, none    , 工作日,
20250416, false, none    , 工作日,
20250417, false, none    , 工作日,
20250418, false, none    , 工作日,
20250419, true , all     , 週六,
20250420, true , all     , 週日,
20250421, false, none    , 工作日,
20250422, false, none    , 工作日,
20250423, false, none    , 工作日,
20250424, false, none    , 工作日,
20250425, false, none    , 工作日,
20250426, true , all     , 週六,
20250427, true , all     , 週日,
20250428, false, none    , 工作日,
20250429, false, none    , 工作日,
20250430, false, none    , 工作日,
20250501, true , labor   , 勞動節,
20250502, false, none    , 工作日,
20250503, true , all     , 週六,
20250504, true , all     , 週日,
20250505, false, none    , 工作日,
20250506, false, none    , 工作日,
20250507, false, none    , 工作日,
20250508, false, none    , 工作日,
20250509, false, none    , 工作日,
20250510, true , all     , 週六,
20250511, true , all     , 週日,
20250512, false, none    , 工作日,
20250513, false, none    , 工作日,
20250514, false, none    , 工作日,
20250515, false, none    , 工作日,
20250516, false, none    , 工作日,
20250517, true , all     , 週六,
20250518, true , all     , 週日,
20250519, false, none    , 工作日,
20250520, false, none    , 工作日,
20250521, false, none    , 工作日,
20250522, false, none    , 工作日,
20250523, false, none    , 工作日,
20250524, true , all     , 週六,
20250525, true , all     , 週日,
20250526, false, none    , 工作日,
20250527, false, none    , 工作日,
20250528, false, none    , 工作日,
20250529, false, none    , 工作日,
20250530, true , all     , 補假,
20250531, true , all     , 端午節,
20250601, true , all     , 週日,
20250602, false, none    , 工作日,
20250603, false, none    , 工作日,
20250604, false, none    , 工作日,
20250605, false, none    , 工作日,
20250606, false, none    , 工作日,
20250607, true , all     , 週六,
20250608, true , all     , 週日,
20250609, false, none    , 工作日,
20250610, false, none    , 工作日,
20250611, false, none    , 工作日,
20250612, false, none    , 工作日,
20250613, false, none    , 工作日,
20250614, true , all     , 週六,
20250615, true , all     , 週日,
20250616, false, none    , 工作日,
20250617, false, none    , 工作日,
20250618, false, none    , 工作日,
20250619, false, none    , 工作日,
20250620, false, none    , 工作日,
20250621, true , all     , 週六,
20250622, true , all     , 週日,
20250623, false, none    , 工作日,
20250624, false, none    , 工作日,
20250625, false, none    , 工作日,
20250626, false, none    , 工作日,
20250627, false, none    , 工作日,
20250628, true , all     , 週六,
20250629, true , all     , 週日,
20250630, false, none    , 工作日,
20250701, false, none    , 工作日,
20250702, false, none    , 工作日,
20250703, false, none    , 工作日,
20250704, false, none    , 工作日,
20250705, true , all     , 週六,
20250706, true , all     , 週日,
20250707, false, none    , 工作日,
20250708, false, none    , 工作日,
20250709, false, none    , 工作日,
20250710, false, none    , 工作日,
20250711, false, none    , 工作日,
20250712, true , all     , 週六,
20250713, true , all     , 週日,
20250714, false, none    , 工作日,
20250715, false, none    , 工作日,
20250716, false, none    , 工作日,
20250717, false, none    , 工作日,
20250718, false, none    , 工作日,
20250719, true , all     , 週六,
20250720, true , all     , 週日,
20250721, false, none    , 工作日,
20250722, false, none    , 工作日,
20250723, false, none    , 工作日,
20250724, false, none    , 工作日,
20250725, false, none    , 工作日,
20250726, true , all     , 週六,
20250727, true , all     , 週日,
20250728, false, none    , 工作日,
20250729, false, none    , 工作日,
20250730, false, none    , 工作日,
20250731, false, none    , 工作日,
20250801, false, none    , 工作日,
20250802, true , all     , 週六,
20250803, true , all     , 週日,
20250804, false, none    , 工作日,
20250805, false, none    , 工作日,
20250806, false, none    , 工作日,
20250807, false, none    , 工作日,
20250808, false, none    , 工作日,
20250809, true , all     , 週六,
20250810, true , all     , 週日,
20250811, false, none    , 工作日,
20250812, false, none    , 工作日,
20250813, false, none    , 工作日,
20250814, false, none    , 工作日,
20250815, false, none    , 工作日,
20250816, true , all     , 週六,
20250817, true , all     , 週日,
20250818, false, none    , 工作日,
20250819, false, none    , 工作日,
20250820, false, none    , 工作日,
20250821, false, none    , 工作日,
20250822, false, none    , 工作日,
20250823, true , all     , 週六,
20250824, true , all     , 週日,
20250825, false, none    , 工作日,
20250826, false, none    , 工作日,
20250827, false, none    , 工作日,
20250828, false, none    , 工作日,
20250829, false, none    , 工作日,
20250830, true , all     , 週六,
20250831, true , all     , 週日,
20250901, false, none    , 工作日,
20250902, false, none    , 工作日,
20250903, true , soldier , 軍人節,
20250904, false, none    , 工作日,
20250905, false, none    , 工作日,
20250906, true , all     , 週六,
20250907, true , all     , 週日,
20250908, false, none    , 工作日,
20250909, false, none    , 工作日,
20250910, false, none    , 工作日,
20250911, false, none    , 工作日,
20250912, false, none    , 工作日,
20250913, true , all     , 週六,
20250914, true , all     , 週日,
20250915, false, none    , 工作日,
20250916, false, none    , 工作日,
20250917, false, none    , 工作日,
20250918, false, none    , 工作日,
20250919, false, none    , 工作日,
